Date,VSt,VS,VSp,GRt,GR,GRp,TIt,TI,TIp,rCHt,rCH,rCHp,CHt,CH,CHp,Rhm,Rh,Rhp
1997-01-06,,,,,,,,,,,,,8440,5542,0.657,,,
1997-01-13,,,,,,,,,,,,,8430,5086,0.603,,,
1997-01-20,,,,,,,,,,,,,8430,4580,0.543,,,
1997-01-27,,,,,,,,,,,,,8440,4243,0.503,,,
1997-02-03,,,,,,,,,,,,,8430,3880,0.46,,,
1997-02-10,,,,,,,,,,,,,8430,3517,0.417,,,
1997-02-17,,,,,,,,,,,,,8440,3290,0.39,,,
1997-02-24,,,,,,,,,,,,,8430,3011,0.357,,,
1997-03-03,,,,,,,,,,,,,8430,2817,0.334,,,
1997-03-10,,,,,,,,,,,,,8440,2573,0.305,,,
1997-03-17,,,,,,,,,,,,,8430,2370,0.281,,,
1997-03-24,,,,,,,,,,,,,8430,2142,0.254,,,
1997-03-31,,,,,,,,,,,,,8430,1948,0.231,,,
1997-04-07,,,,,,,,,,,,,8440,1780,0.211,,,
1997-04-14,,,,,,,,,,,,,8430,1594,0.189,,,
1997-04-21,,,,,,,,,,,,,8430,1400,0.166,,,
1997-04-28,,,,,,,,,,,,,8440,1198,0.142,,,
1997-05-05,,,,,,,,,,,,,8430,1172,0.139,,,
1997-05-12,,,,,,,,,,,,,8440,1232,0.146,,,
1997-05-19,,,,,,,,,,,,,8440,1409,0.167,,,
1997-05-26,,,,,,,,,,,,,8440,1704,0.202,,,
1997-06-02,,,,,,,,,,,,,8440,2092,0.248,,,
1997-06-09,,,,,,,,,,,,,8430,2471,0.293,,,
1997-06-16,,,,,,,,,,,,,8430,3163,0.375,,,
1997-06-23,,,,,,,,,,,,,8440,3754,0.445,,,
1997-06-30,,,,,,,,,,,,,8440,4277,0.507,,,
1997-07-07,,,,,,,,,,,,,8440,4707,0.558,,,
1997-07-14,,,,,,,,,,,,,8440,5061,0.6,,,
1997-07-21,,,,,,,,,,,,,8430,5592,0.663,,,
1997-07-28,,,,,,,,,,,,,8440,6048,0.717,,,
